SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
236,Fluoride,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
237,Colour,Hazen,Sept,2018,,CPCB,30.6921376,76.7361159
238,Boron(B),mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
239,TKN,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
240,Potassium,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
241,Sodium,mg/l,Sept,2018,,CPCB,30.6921376,76.7361159
242,Total Coliform,MPN/100ml,Sept,2018,7.6E+4,CPCB,30.6921376,76.7361159
243,Faecal Coliform,MPN/100ml,Sept,2018,1.4E+4,CPCB,30.6921376,76.7361159
244,pH,-,Oct,2018,7.3,CPCB,30.6921376,76.7361159
245,Conductivity,µs/cm,Oct,2018,,CPCB,30.6921376,76.7361159
246,DO,mg/l,Oct,2018,4.8,CPCB,30.6921376,76.7361159
247,COD,mg/l,Oct,2018,11.0,CPCB,30.6921376,76.7361159
248,BOD,mg/l,Oct,2018,3.0,CPCB,30.6921376,76.7361159
249,NO3-N,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
250,NH3-N,mg/l,Oct,2018,3.0,CPCB,30.6921376,76.7361159
251,Phosphate,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
252,TSS,mg/l,Oct,2018,9.0,CPCB,30.6921376,76.7361159
253,TDS,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
254,FS,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
255,Turbidity,NTU,Oct,2018,,CPCB,30.6921376,76.7361159
256,TH as CaCO3,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
257,Ca as CaCO3,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
258,Mg as CaCO3,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
259,Sulphate,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
260,Chloride,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
261,Total alkalinity as CaCO3,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
262,P-Alkalinity,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
263,Fluoride,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
264,Colour,Hazen,Oct,2018,,CPCB,30.6921376,76.7361159
265,Boron(B),mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
266,TKN,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
267,Potassium,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
268,Sodium,mg/l,Oct,2018,,CPCB,30.6921376,76.7361159
269,Total Coliform,MPN/100ml,Oct,2018,9300.0,CPCB,30.6921376,76.7361159
270,Faecal Coliform,MPN/100ml,Oct,2018,6100.0,CPCB,30.6921376,76.7361159
271,pH,-,Nov,2018,7.3,CPCB,30.6921376,76.7361159
272,Conductivity,µs/cm,Nov,2018,,CPCB,30.6921376,76.7361159
273,DO,mg/l,Nov,2018,5.6,CPCB,30.6921376,76.7361159
274,COD,mg/l,Nov,2018,32.0,CPCB,30.6921376,76.7361159
275,BOD,mg/l,Nov,2018,8.0,CPCB,30.6921376,76.7361159
276,NO3-N,mg/l,Nov,2018,,CPCB,30.6921376,76.7361159
277,NH3-N,mg/l,Nov,2018,6.0,CPCB,30.6921376,76.7361159
