SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
229,TH as CaCO3,mg/l,Sept,242,CPCB 2018,2018,Sector 83,30.658143,76.724407
230,Ca as CaCO3,mg/l,Sept,138,CPCB 2018,2018,Sector 83,30.658143,76.724407
231,Mg as CaCO3,mg/l,Sept,104,CPCB 2018,2018,Sector 83,30.658143,76.724407
232,Sulphate,mg/l,Sept,63,CPCB 2018,2018,Sector 83,30.658143,76.724407
233,Chloride,mg/l,Sept,42,CPCB 2018,2018,Sector 83,30.658143,76.724407
234,Total alkalinity as CaCO3,mg/l,Sept,264,CPCB 2018,2018,Sector 83,30.658143,76.724407
235,P-Alkalinity,mg/l,Sept,,CPCB 2018,2018,Sector 83,30.658143,76.724407
236,Fluoride,mg/l,Sept,0.13,CPCB 2018,2018,Sector 83,30.658143,76.724407
237,Colour,Hazen,Sept,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
238,Boron(B),mg/l,Sept,0.08,CPCB 2018,2018,Sector 83,30.658143,76.724407
239,TKN,mg/l,Sept,5.3,CPCB 2018,2018,Sector 83,30.658143,76.724407
240,Potassium,mg/l,Sept,11,CPCB 2018,2018,Sector 83,30.658143,76.724407
241,Sodium,mg/l,Sept,47,CPCB 2018,2018,Sector 83,30.658143,76.724407
242,Total Coliform,MPN/100ml,Sept,,CPCB 2018,2018,Sector 83,30.658143,76.724407
243,Faecal Coliform,MPN/100ml,Sept,,CPCB 2018,2018,Sector 83,30.658143,76.724407
244,pH,-,Oct,7.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
245,Conductivity,µs/cm,Oct,584,CPCB 2018,2018,Sector 83,30.658143,76.724407
246,DO,mg/l,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
247,COD,mg/l,Oct,160,CPCB 2018,2018,Sector 83,30.658143,76.724407
248,BOD,mg/l,Oct,79,CPCB 2018,2018,Sector 83,30.658143,76.724407
249,NO3-N,mg/l,Oct,1.5,CPCB 2018,2018,Sector 83,30.658143,76.724407
250,NH3-N,mg/l,Oct,23,CPCB 2018,2018,Sector 83,30.658143,76.724407
251,Phosphate,mg/l,Oct,2.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
252,TSS,mg/l,Oct,100,CPCB 2018,2018,Sector 83,30.658143,76.724407
253,TDS,mg/l,Oct,384,CPCB 2018,2018,Sector 83,30.658143,76.724407
254,FS,mg/l,Oct,280,CPCB 2018,2018,Sector 83,30.658143,76.724407
255,Turbidity,NTU,Oct,112,CPCB 2018,2018,Sector 83,30.658143,76.724407
256,TH as CaCO3,mg/l,Oct,220,CPCB 2018,2018,Sector 83,30.658143,76.724407
257,Ca as CaCO3,mg/l,Oct,128,CPCB 2018,2018,Sector 83,30.658143,76.724407
258,Mg as CaCO3,mg/l,Oct,92,CPCB 2018,2018,Sector 83,30.658143,76.724407
259,Sulphate,mg/l,Oct,68,CPCB 2018,2018,Sector 83,30.658143,76.724407
260,Chloride,mg/l,Oct,40,CPCB 2018,2018,Sector 83,30.658143,76.724407
261,Total alkalinity as CaCO3,mg/l,Oct,234,CPCB 2018,2018,Sector 83,30.658143,76.724407
262,P-Alkalinity,mg/l,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
263,Fluoride,mg/l,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
264,Colour,Hazen,Oct,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
265,Boron(B),mg/l,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
266,TKN,mg/l,Oct,4.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
267,Potassium,mg/l,Oct,12,CPCB 2018,2018,Sector 83,30.658143,76.724407
268,Sodium,mg/l,Oct,28,CPCB 2018,2018,Sector 83,30.658143,76.724407
269,Total Coliform,MPN/100ml,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
270,Faecal Coliform,MPN/100ml,Oct,,CPCB 2018,2018,Sector 83,30.658143,76.724407
271,pH,-,Nov,7,CPCB 2018,2018,Sector 83,30.658143,76.724407
272,Conductivity,µs/cm,Nov,611,CPCB 2018,2018,Sector 83,30.658143,76.724407
273,DO,mg/l,Nov,,CPCB 2018,2018,Sector 83,30.658143,76.724407
274,COD,mg/l,Nov,204,CPCB 2018,2018,Sector 83,30.658143,76.724407
275,BOD,mg/l,Nov,65,CPCB 2018,2018,Sector 83,30.658143,76.724407
276,NO3-N,mg/l,Nov,2,CPCB 2018,2018,Sector 83,30.658143,76.724407
277,NH3-N,mg/l,Nov,23,CPCB 2018,2018,Sector 83,30.658143,76.724407
278,Phosphate,mg/l,Nov,2.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
279,TSS,mg/l,Nov,120,CPCB 2018,2018,Sector 83,30.658143,76.724407
280,TDS,mg/l,Nov,300,CPCB 2018,2018,Sector 83,30.658143,76.724407
281,FS,mg/l,Nov,248,CPCB 2018,2018,Sector 83,30.658143,76.724407
282,Turbidity,NTU,Nov,119,CPCB 2018,2018,Sector 83,30.658143,76.724407
283,TH as CaCO3,mg/l,Nov,220,CPCB 2018,2018,Sector 83,30.658143,76.724407
284,Ca as CaCO3,mg/l,Nov,142,CPCB 2018,2018,Sector 83,30.658143,76.724407
285,Mg as CaCO3,mg/l,Nov,78,CPCB 2018,2018,Sector 83,30.658143,76.724407
286,Sulphate,mg/l,Nov,74,CPCB 2018,2018,Sector 83,30.658143,76.724407
287,Chloride,mg/l,Nov,41,CPCB 2018,2018,Sector 83,30.658143,76.724407
288,Total alkalinity as CaCO3,mg/l,Nov,266,CPCB 2018,2018,Sector 83,30.658143,76.724407
289,P-Alkalinity,mg/l,Nov,,CPCB 2018,2018,Sector 83,30.658143,76.724407
290,Fluoride,mg/l,Nov,0.12,CPCB 2018,2018,Sector 83,30.658143,76.724407
291,Colour,Hazen,Nov,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
292,Boron(B),mg/l,Nov,,CPCB 2018,2018,Sector 83,30.658143,76.724407
293,TKN,mg/l,Nov,26,CPCB 2018,2018,Sector 83,30.658143,76.724407
294,Potassium,mg/l,Nov,22,CPCB 2018,2018,Sector 83,30.658143,76.724407
295,Sodium,mg/l,Nov,17,CPCB 2018,2018,Sector 83,30.658143,76.724407
296,Total Coliform,MPN/100ml,Nov,,CPCB 2018,2018,Sector 83,30.658143,76.724407
297,Faecal Coliform,MPN/100ml,Nov,,CPCB 2018,2018,Sector 83,30.658143,76.724407
