SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
177,Mg as CaCO3,mg/l,July,2018,92.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
178,Sulphate,mg/l,July,2018,62.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
179,Chloride,mg/l,July,2018,45.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
180,Total alkalinity as CaCO3,mg/l,July,2018,246.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
181,P-Alkalinity,mg/l,July,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
182,Fluoride,mg/l,July,2018,0.13,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
183,Colour,Hazen,July,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
184,Boron(B),mg/l,July,2018,0.12,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
185,TKN,mg/l,July,2018,4.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
186,Potassium,mg/l,July,2018,10.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
187,Sodium,mg/l,July,2018,43.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
188,Total Coliform,MPN/100ml,July,2018,5.4E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
189,Faecal Coliform,MPN/100ml,July,2018,4E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
190,pH,-,Aug,2018,7.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
191,Conductivity,µs/cm,Aug,2018,559.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
192,DO,mg/l,Aug,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
193,COD,mg/l,Aug,2018,82.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
194,BOD,mg/l,Aug,2018,49.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
195,NO3-N,mg/l,Aug,2018,2.8,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
196,NH3-N,mg/l,Aug,2018,15.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
197,Phosphate,mg/l,Aug,2018,1.03,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
198,TSS,mg/l,Aug,2018,62.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
199,TDS,mg/l,Aug,2018,345.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
200,FS,mg/l,Aug,2018,289.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
201,Turbidity,NTU,Aug,2018,92.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
202,TH as CaCO3,mg/l,Aug,2018,210.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
203,Ca as CaCO3,mg/l,Aug,2018,120.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
204,Mg as CaCO3,mg/l,Aug,2018,90.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
205,Sulphate,mg/l,Aug,2018,54.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
206,Chloride,mg/l,Aug,2018,42.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
207,Total alkalinity as CaCO3,mg/l,Aug,2018,224.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
208,P-Alkalinity,mg/l,Aug,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
209,Fluoride,mg/l,Aug,2018,0.14,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
210,Colour,Hazen,Aug,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
211,Boron(B),mg/l,Aug,2018,0.15,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
212,TKN,mg/l,Aug,2018,4.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
213,Potassium,mg/l,Aug,2018,10.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
214,Sodium,mg/l,Aug,2018,43.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
215,Total Coliform,MPN/100ml,Aug,2018,2.7E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
216,Faecal Coliform,MPN/100ml,Aug,2018,1.4E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
217,pH,-,Sept,2018,7.4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
218,Conductivity,µs/cm,Sept,2018,724.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
